Date (UTC),"Country, Region (Epicenter)",Magnitude,Depth (km),Intensity (MMI),Fatalities,Injuries,Damage level,buildings damaged,buildings destroyed,Tsunami Height
7/12/2015,"Japan, Oita",5.7,60,JMA 5+,--,3,2,3,1,--
7/14/2015,"Thailand, Kanchanaburi",4.8,4,VI,--,--,1 - 2,,0,--
7/16/2015,OS Barbados,6.4,,,--,--,1,1,0,--
7/18/2015,"OS Solomon Islands, Temotu",7.0,,VIII,--,--,1,,0,20 cm
7/18/2015,"India, Uttarakhand",4.0,,,--,1,2,,4,--
7/19/2015,"Ukraine, Oblast Zakarpattia",3.8,5,,--,--,1 - 2,,0,--
7/19/2015,"China, Gansu",3.3,11,,--,--,1,,0,--
7/20/2015,"USA, Oklahoma","[4,4]",5,V,--,--,1 - 2,,0,--
7/23/2015,"India, Maharashtra",3.9,,,--,--,2 - 3,20,0,--
7/24/2015,"Chile, Tarapaca",5.3,38,VI,--,--,1,0,0,--
7/24/2015,"Pakistan, Khyber Pakhtunkhwa",5.5,,,3,1,3,,1,--
7/25/2015,"Brazil, Pernambuco",3.3,,,--,--,1,,0,--
7/26/2015,"OS Indonesia, Java Timur",5.9,56,IV,--,--,1 - 2,50,0,--
7/27/2015,"OS USA, Alaska",6.9,29,,--,--,--,0,0,8 cm
7/27/2015,"USA, Oklahoma","[4,5]",3,VI,--,--,1 - 2,,0,--
7/27/2015,"Indonesia, Papua",7.2,49,VII,1,--,2,,0,--
7/29/2015,"Panama, Emberá-Wounaan",5.9,12,VI,--,6,2 - 3,30,0,--
7/29/2015,"Panama, Emberá-Wounaan (aftershock)",4.1,14,,--,--,2,0,1,--
7/29/2015,"OS Sweden, Västra Götaland",2.9,,,--,--,1,2,0,--
7/29/2015,"OS Turkey, Adana",5.2,18,,--,--,1 - 2,10,0,--
7/31/2015,"Iran, Kerman",5.5,8,,--,27,3,,1,--
8/1/2015,"Peru, Arequipa (Sabancaya volcano)",4.0,8,,--,--,1,10,0,--
8/3/2015,"Pakistan, Balochistan",5.5,,,--,--,2,,0,--
8/4/2015,"China, Liaoning",4.2,5,,--,--,2,200,0,--
8/7/2015,"DR Congo, South Kivu",5.8,12,VI,3,68,4,,100,--
8/8/2015,"Benin, Littoral",,,,--,--,1,1,0,--
8/9/2015,"El Salvador, Usulutan",3.9,7,,--,4,2 - 3,92,0,--
8/10/2015,"China, Xinjiang",4.6,10,,--,--,1 - 2,25,0,--
8/10/2015,"Afghanistan, Badakhshan",5.9,224,,--,--,2,,0,--
8/10/2015,"Iran, Golestan",4.2,,,--,--,2,,0,--
8/14/2015,"Brazil, Santa Catarina",[ ],,,--,--,1,,0,--
8/17/2015,"USA, California (San Francisco area)",4.0,5,VI,--,--,1,2,0,--
8/17/2015,"Indonesia, Maluku",5.0,,,--,--,1,4,0,--
8/18/2015,"Netherlands, Groningen","[2,0]",3,,--,--,1,7,0,--
8/20/2015,"Nepal, Central (aftershock)",4.8,,,1,--,1,0,0,--
8/21/2015,"Colombia, Quindio (Armenia area)",4.2,4,,--,--,1,5,0,--
8/23/2015,"Chile, Coquimbo",6.0,40,VI,--,--,1,1,0,--
8/25/2015,"Iran, Tehran",4.6,10,,--,1,1,0,0,--
8/26/2015,"India, Andhra Pradesh",3.3,15,,--,--,1,5,0,--
8/28/2015,"Peru, Arequipa (Sabancaya volcano)",4.9,,,--,--,1,,0,--
8/30/2015,"Iran, North Chorasan",4.7,10,,--,--,1,10,0,--
9/3/2015,"India, Rajasthan",4.4,,,1,--,1,1,0,--
9/4/2015,"Azerbaijan, Oghuz",5.9,13,VII,1,2,3,260,3,--
9/4/2015,"Colombia, Antioquia",3.8,34,,--,--,1,1,0,--
9/5/2015,"Argentina, Salta",5.2,,,--,--,2,,0,--
9/6/2015,"China, Sichuan",3.7,14,,--,--,3,1102,3,--
9/7/2015,"India, Madhya Pradesh",,,,--,--,1 - 2,,0,--
9/9/2015,"India, Andhra Pradesh",,,,--,--,1,,0,--
9/11/2015,"Japan, Tokyo",5.3,70,JMA 5-,--,16,1,2,0,--
9/12/2015,"Nicaragua, Leon",4.3,15,,--,--,2 - 3,20,5,--
9/14/2015,"China, Hebei",4.2,14,VI,--,--,3,,,--
9/14/2015,"Nicaragua, Leon",4.9,12,,--,--,3,524,,--
9/15/2015,"Croatia, Zagreb",2.9,2,V ,--,--,1,2,0,--
9/16/2015,"Mexico, Sinaloa",4.5,12,,--,--,2,20,0,--
9/16/2015,"OS Chile, Coquimbo",8.3,25,VIII,16,14,5,4800,2872,"4,75 m"
9/18/2015,"Colombia, Valle del Cauca",4.7,4,,--,1,1 - 2,5,0,--
9/20/2015,"Brazil, Rio Grande do Norte",3.6,,,--,--,1,,0,--
9/22/2015,"China, Sichuan",4.0,11,,--,--,1,2,0,--
9/24/2015,"Mexico, Chihuahua (Juarez Area)",,,,--,--,1,1,0,--
9/24/2015,"OS Indonesia, Papua-Barat",6.8,24,VII,--,45,4,2889,,--
9/25/2015,"USA, Oklahoma","[4,0]",,,--,--,1,3,0,--
9/25/2015,"Indonesia, Yogjakarta",4.6,5,,--,--,1,7,0,--
9/26/2015,"India, Madhya Pradesh",,,,--,--,1,,0,--
9/26/2015,"India, Odisha",3.2,,,--,--,1,,0,--
9/28/2015,"OS Peru, Tumbes",4.9,,,--,--,2,350,0,--
9/29/2015,"India, Uttarakhand",4.8,,,--,--,1,,1,--
9/30/2015,"El Salvador, La Union",4.4,20,V ,--,--,1 - 2,10,0,--
9/30/2015,"Poland, Lesser Poland","[3,7]",0.6,VI,--,--,2,135,0,--
9/30/2015,"Mexico, Guerrero",5.5,30,,--,--,1,1,0,--
9/30/2015,"Netherlands, Groningen","[3,1]",,,--,--,1 - 2,1240,0,--
9/30/2015,"Netherlands, Drenthe","[2,3]",,,--,--,1,53,0,--
10/3/2015,"Chile, Coquimbo (aftershock)",6.0,,VI,--,--,1,1,0,--
10/6/2015,"Turkey, Antalya",5.2,20,,--,--,1,1,0,--
10/9/2015,"Brazil, Ceara",3.3,,,--,--,1,,0,--
10/9/2015,"Turkey, Tokat",5.1,,,--,1,2,,0,--
10/10/2015,"USA, Oklahoma","[4,4]",,V,--,--,1 - 2,,0,--
10/10/2015,"USA, Oklahoma","[4,5]",,VI,--,--,1 - 2,,0,--
10/11/2015,"Nicaragua, Leon",4.4,15,,--,--,1,,0,--
10/12/2015,"China, Qinghai",5.2,,,--,--,1,2,0,--
10/12/2015,"Turkmenistan, Ahal Welayaty",5.3,6,,,,3,419,14,--
10/14/2015,"Colombia, Santander",5.3,118,V,--,--,1,,0,--
10/15/2015,"Ecuador, Canar",5.6,87,,--,--,1 - 2,,0,--
10/17/2015,"Argentina, Salta",5.9,18,VI,1,53,3 - 4,373,25,--
10/18/2015,"Iran, Kerman",4.4,10,,--,--,1,,0,--
10/18/2015,"Russia, Oblast Sverdlovsk","[4,1]",,,--,--,1,2,0,--
10/20/2015,"USA, California (San Francisco area)",3.6,8,IV,--,--,1,,0,--
10/20/2015,"Poland, Lesser Poland","[3,7]",0.5,,--,--,1 - 2,76,0,--
10/22/2015,"OS Indonesia, Java Tengah",5.0,14,,--,,2,,0,--
10/23/2015,"Pakistan, Punjab",5.3,,,2,1,3,,,--
10/25/2015,Iran Bushehr,4.0,9,,--,--,1 - 2,,0,--
10/26/2015,"Afghanistan, Badakhshan",7.5,223,VII,402,2355,5 +,92687,36642,--
10/26/2015,"China, Xizang",4.2,8,,--,--,1 - 2,,,--
