Date (UTC),Country (Epicenter),Region (Epicenter),Magnitude,Type,Origin,Depth (km),Intensity (MMI / JMA),Lat,Long,Fatalities,Injuries,displaced,Impact value (D),buildings damaged,buildings destroyed,Tsunami height
21.03.2019,Tanzania,Rukwa,5.6,earthquake,tectonic,,,-7.09,32.06,1,0,0,0.374,26,4,--
,,,5.6,,,,,,,1,,,0.372,25,4,--
,,,5.6,,,,,,,0,0,0,0.004,1,0,--
21.03.2019,Indonesia,Jawa Barat,4.7,earthquake,tectonic,,,-7.73,107.87,0,0,0,0.004,1,0,--
23.03.2019,Colombia,Valle del Cauca,6.0,earthquake,tectonic,122,,4.57,-76.31,0,2,0,0.240,25,0,--
24.03.2019,Indonesia,Sulawesi Tengah,5.6,earthquake,tectonic,,,-1.8,120.58,0,0,0,0.248,77,2,--
24.03.2019,Kenya,Taita,4.8,earthquake,tectonic,,,-3.1,38.25,0,0,0,0.056,15,0,--
25.03.2019,Turkey,Malatya,4.5,earthquake,tectonic,,,38.74,38.14,0,1,200,1.016,93,149,--
27.03.2019,China,Qinghai,5.0,earthquake,tectonic,9,,38.28,90.89,0,0,0,0.073,20,0,--
30.03.2019,Greece,Thessalia,5.4,earthquake,tectonic,,,38.32,22.31,0,0,0,0.020,5,0,--
31.03.2019,Ecuador,Santa Elena,6.3,earthquake,tectonic,,,-1.95,-80.87,0,0,20,0.256,34,4,--
01.04.2019,Iran,Ilam,5.2,earthquake,tectonic,,,33.69,45.73,0,0,0,0.008,2,0,--
01.04.2019,Honduras,Olancho,4.0,earthquake,tectonic,26,,14.9,-86.62,0,0,0,0.020,5,0,--
02.04.2019,Indonesia,Java Timur,4.9,aftershock,tectonic,,,-7.22,114.60,0,2,0,0.387,101,0,--
04.04.2019,Turkey,Elazig,5.2,earthquake,tectonic,,,38.39,39.12,0,0,1000,1.616,778,479,--
11.04.2019,Peru,Ica,5.3,earthquake,tectonic,63,,-13.85,-76.48,0,1,0,0.104,2,0,--
12.04.2019,Indonesia,Sulawesi Selatan,6.8,earthquake,tectonic,17,VII,-1.81,122.59,1,2,,0.455,37,,--
15.04.2019,Turkey,Malatya,4.6,earthquake,tectonic,2,,38.76,38.13,0,0,0,0.073,20,0,--
15.04.2019,Iran,Kermanshah,4.3,aftershock,tectonic,13,,34.49,45.72,0,1,0,0.098,0,0,--
17.04.2019,Peru,Amazonas,5.5,earthquake,tectonic,85,,-5.02,-78.31,0,24,0,0.850,0,0,--
18.04.2019,Taiwan,Hualien,6.1,earthquake,tectonic,19,VIII,121.69,24.10,1,16,0,0.844,100,,--
20.04.2019,India,Jharkhand,4.4,earthquake,tectonic,18,,22.8,86.1,0,0,0,0.090,25,0,--
22.04.2019,Philippines,Central Luzon,6.1,earthquake,tectonic,10,VII,"14,940","120,493",18,256,9556,2.512,3464,1115,--
23.04.2019,Philippines,Samar,6.5,earthquake,tectonic,61,VI,11.83,125.19,0,48,1008,1.530,244,1,--
23.04.2019,India,Arunachal Pradesh,5.9,earthquake,tectonic,14,VII,"28,416","94,601",0,0,0,0.117,,10,--
02.05.2019,China,Sichuan,4.5,earthquake,tectonic,14,,30.43,103.01,0,0,0,0.020,5,0,--
06.05.2019,Papua New Guinea,Morobe,7.2,earthquake,tectonic,127,VII,-6.95,146.46,0,,500,1.152,,130,30 cm
09.05.2019,Japan,Miyazaki,6.1,earthquake,tectonic,23,5-,"31,782","131,854",0,2,0,0.181,1,0,--
12.05.2019,Panama,Chiriqui,6.3,earthquake,tectonic,,,"8,609","-82,839",0,5,62,0.614,50,8,--
13.05.2019,Peru,Huancayo,5.2,earthquake,tectonic,99,,-2.19,-74.9,0,0,0,0.008,2,0,--
14.05.2019,Papua New Guinea,New Ireland,7.5,earthquake,tectonic,24,,-4.12,152.55,0,1,800,1.310,50,130,--
15.05.2019,Israel,Offshore,4.4,earthquake,tectonic,,,32.65,32.56,0,0,0,0.020,5,0,--
15.05.2019,China,Yunnan,4.7,earthquake,tectonic,10,,28.07,103.53,0,0,0,0.067,18,0,--
16.05.2019,Nicaragua,Offshore,5.8,earthquake,tectonic,71,,"12,677","-87,779",0,0,,0.056,15,,--
17.05.2019,China,Jilin,5.1,earthquake,tectonic,10,,45.3,124.75,0,0,79,0.672,134,33,--
20.05.2019,Afghanistan,Badakhshan,4.4,earthquake,tectonic,111,,36.35,71.18,0,0,0,0.056,15,0,--
21.05.2019,Italy,Apulia,3.9,earthquake,tectonic,34,,41.30,16.32,0,0,0,0.004,1,0,--
22.05.2019,Netherlands,Groningen,3.4,earthquake,gas prod.,3,IV - V,53.33,6.66,0,0,0,1.658,4832,0,--
25.05.2019,Russia,Dagestan,4.6,earthquake,tectonic,5,V - VI,42.94,47.17,0,0,0,0.087,24,0,--
25.05.2019,Peru,Offshore,4.7,earthquake,tectonic,34,,-8.61,-79.76,0,0,0,0.008,2,0,--
26.05.2019,India,West Bengal,4.7,earthquake,tectonic,,,23.21,86.9,,,,0.038,10,,--
