Date (UTC),Region / Epicenter,Magnitude,Depth (km),Intensity (MMI),Fatalities,injuries,Damage level,Tsunami height
7/26/2013,"China, Gansu",4.5,6,,--,34,4,--
7/27/2013,Bulgaria,"< 4,0",4,,--,--,1 - 2,--
7/28/2013,"OS New Zealand, Marlborough (aftershock)",5.4,12,,--,--,1,--
7/30/2013,"OS Turkey, Aegean Sea",5.3,7,,--,--,2,--
7/30/2013,Croatia,4.6,4,VII,--,--,2,--
8/2/2013,"India, Kashmir",5.4,28,,--,2,3,--
8/2/2013,"India, Kashmir",5.2,20,,--,6,2,--
8/2/2013,"China, Xinjiang",4.6,10,,--,--,2,--
8/4/2013,OS Japan Honshu,6.0,50,,--,4,1,--
8/5/2013,"OS Chile, Tarapaca",5.4,16,,--,--,1,--
8/7/2013,Greece,5.1,17,,--,2,3,--
8/7/2013,"India, Andhra Pradesh",,,,--,--,2,--
8/9/2013,Austria,3.7,4,,--,--,1,--
8/9/2013,Greece,4.8,15,,--,--,2,--
8/10/2013,"Indonesia, Sumatra",4.5,,,--,--,2,--
8/11/2013,"Brazil, Para",4.6,,,--,--,2,--
8/11/2013,"China, Xizang",6.1,10,VII,--,87,4,--
8/13/2013,Bulgaria,3.5,2,,--,--,2,--
8/14/2013,"Italy, Tuscany (aftershock)",3.6,7,IV,--,--,1 - 2,--
8/15/2013,"Italy, Sicily",4.2,,,--,--,2,--
8/16/2013,"New Zealand, Marlborough",6.6,8,VIII,--,5,3,--
,"New Zealand, Marlborough (aftershocks)",5.4,6,VI ,--,--,,--
,,5.5,8,VII,--,--,,--
,,5.6,19,VII,--,--,,--
,,6.0,14,VII,--,--,,--
8/16/2013,"Mexico, Guerrero",5.1,20,,--,2,2 - 3,--
8/17/2013,Turkey,4.1,5,,--,,2,--
8/18/2013,"India, Kashmir",4.8,18,,--,--,2,--
8/19/2013,"China, Fujian",3.3,11,,--,--,1 - 2,--
8/21/2013,"Mexico, Guerrero",6.2,35,VI,--,8,3,--
,"Mexico, Guerrero (aftershock)",5.0,11,,--,,,--
8/22/2013,"OS Italy, Marche",4.4,8,IV,--,--,2,--
8/22/2013,"China, Fujian",4.0,8,,--,--,2,--
8/24/2013,Honduras,4.6,6,,--,--,2,--
8/27/2013,"China, Yunnan",5.1,9,,--,--,4,--
,"China, Yunnan (afterhock)",4.4,8,,--,,,--
8/27/2013,Colombia,4.6,17,,--,--,3,--
8/27/2013,"USA, Nevada",4.6,14,,--,--,1,--
8/28/2013,Bulgaria,3.9,2,,--,--,2,--
8/28/2013,"Mexico, Chihuahua","[4,5]",4,,--,--,2,--
8/30/2013,"China, Xinjiang",5.1,12,,--,--,2 - 3,--
8/30/2013,"OS USA, Alaska",7.0,32,VII,--,--,--,cm
8/30/2013,"China, Xizang",5.0,9,,--,3,1,--
8/31/2013,"China, Yunnan",5.9,10,VIII,3,54,4 - 5,--
follow. days,"China, Yunnan (aftershocks)","< 4,5",,,--,--,,--
9/1/2013,"USA, Texas","[4,3]",5,V,--,--,1,--
9/3/2013,"India, Kashmir (aftershock)",4.4,,,--,--,2,--
9/3/2013,"OS Mexico, Veracruz",4.2,16,,--,--,2,--
9/3/2013,"China, Fujian",4.8,10,VI,--,--,3,--
9/4/2013,Netherlands,"[2,8]",3,,--,--,1 - 2,--
9/4/2013,Ukraine,,,,--,--,2,--
9/4/2013,"OS New Zealand, Wellington (aftershock)",5.1,,V,--,--,1 - 2,--
9/7/2013,Guatemala,6.6,67,VII,1,51,3 - 4,--
9/8/2013,"Romania, Hunedoara",4.7,5,V,--,--,1 - 2,--
9/15/2013,"Mexico, Chihuahua","[4,8]",5,,--,--,2,--
9/16/2013,Greece,4.8,10,,--,--,2 - 3,--
9/17/2013,Georgia,5.0,17,,--,--,2 - 3,--
9/17/2013,Turkey,5.1,8,,--,--,2 - 3,--
9/17/2013,"Mexico, Hidalgo","< 3,8",1,,--,--,1 - 2,--
9/18/2013,Turkey,4.4,5,,--,1,3,--
9/19/2013,"Japan, Honshu",5.8,20,JMA5+,--,2,1,--
9/19/2013,"China, Qinghai",5.1,7,,--,1,2 - 3,--
9/20/2013,Austria,4.3,12,V,--,--,1 - 2,--
9/20/2013,Myanmar,5.7,,,--,--,3,--
9/21/2013,"India, Gujarat",,,,--,--,2,--
9/21/2013,"Mexico, Chihuahua","[5,4]",3,,--,--,2,--
9/21/2013,"USA, Wyoming",4.9,73,,--,--,1,--
9/23/2013,"China, Hubei",2.4,5,IV,--,--,1 - 2,--
9/23/2013,"USA, Oklahoma","[3,2]",5,IV,--,--,2,--
9/24/2013,"India, Madhya Pradesh",,,,--,--,2 - 3,--
9/24/2013,Pakistan,7.7,20,VIII,386,816,5+,26 cm
9/25/2013,"Romania, Galati",3.5,5,,--,--,1,--
9/25/2013,"OS Peru, Arequipa",6.9,40,VII ,--,29,3 - 4,--
9/25/2013,France,3.6,,,--,--,1 - 2,--
9/27/2013,"Iran, West Azerbaijan",4.6,,,--,--,1 - 2,--
9/28/2013,Pakistan (aftershock),7.2,14,VII,45,150,4,--
9/29/2013,"Romania, Galati",3.9,5,IV,--,--,2,--
9/30/2013,"Romania, Galati",3.7,5,,--,--,1,--
10/2013,"India, Maharashtra",,,,--,--,1 - 2,--
10/2/2013,Austria,4.2,,,--,--,2,--
10/2/2013,"Romania, Galati",3.6,5,,--,--,2,--
10/3/2013,"India, Sikkim",5.3,,,--,--,2,--
10/4/2013,"China, Sichuan",4.5,21,,--,--,1 - 2,--
10/4/2013,"Romania, Galati",3.8,5,,--,--,2,--
10/4/2013,"Iran, South Khorasan",5.0,9,,--,--,2,--
10/6/2013,"Romania, Vrancea",5.5,134,V,--,--,1 - 2,--
10/8/2013,"Iran, Hormozgan",4.8,,,--,--,1 - 2,--
10/8/2013,"Iran, Kohkiluyeh va Boyer Ahmad",4.2,8,,--,--,1 - 2,--
10/10/2013,Thailand,4.1,,,--,--,2,--
10/12/2013,OS Venezuela,5.6,74,VI,--,--,2,--
10/12/2013,"OS Greece, Crete",6.4,47,VI,--,1,2 - 3,"2,5 cm"
10/14/2013,"China, Sichuan",4.3,19,,--,1,3,--
10/14/2013,"Indonesia, Sulawesi",4.2,,,--,2,3,--
10/15/2013,"Philippines, Bohol",7.1,14,IX,231,975,5+,--
,"Philippines, Bohol / Cebu (aftershocks)","< 5,5",,< VI,--,--,2,--
10/15/2013,"China, Yunnan",4.2,14,,--,--,3,--
10/16/2013,"Iran, Markazi",4.7,2,,--,1,3,--
10/16/2013,Bolivia,5,,,--,--,2 - 3,--
10/17/2013,"Indonesia, Sulawesi (aftershock)",,,,--,--,1 - 2,--
10/18/2013,Pakistan (aftershock),4.9,,,--,--,3,--
10/18/2013,Pakistan,5.3,10,,--,--,2,--
10/18/2013,Tunisia,4.5,26,VI,--,--,2,--
10/19/2013,Hungary,3.3,,,--,--,1 - 2,--
10/19/2013,"OS Mexico, Sinaloa",6.5,8,V,--,--,1 - 2,--
10/20/2013,Israel,"< 3,6",,,--,-- ,1 - 2,--
10/21/2013,Tunisia (aftershock),4.4,,,--,--,1 - 2,--
10/21/2013,Bolivia,4.7,,,--,--,2,--
10/22/2013,"Indonesia, Sumatra",5.6,,VI,1,3,2 - 3,--
10/22/2013,"China, Guizhou",1.8,6,,--,--,1,--
10/25/2013,"Brazil, Rio Grande do Norte","< 3,7",,,--,--,1 - 2,--
10/25/2013,Paraguay,,,V,--,--,1,--
10/25/2013,"OS Japan, Honshu",7.1,20,,--,1,1,55 cm
10/25/2013,Georgia,3.5,,,--,--,2,--
10/27/2013,Panama,5.4,,,--,1,--,--
10/28/2013,"India, Tamil Nadu",,,,--,--,2,--
10/30/2013,"China, Yunnan",4.0,10,,--,--,3,--
10/31/2013,"OS Indonesia, East Nusa Tenggara",5.4,,,--,--,2,--
10/31/2013,"Australia, West Australia",3.7,0,,--,--,1,--
10/31/2013,"China, Jilin",5.5,8,,--,13,3 - 4,--
10/31/2013,Taiwan,6.3,8,VII,--,2,2,--
10/31/2013,"Spain, Andalusia",3.5,3,,--,--,1,--
10/31/2013,OS Chile Coquimbo,6.5,34,V,--,--,1,--
11/3/2013,"China, Jilin (aftershock)",4.5,10,,--,2,2 - 3,--
11/3/2013,"China, Jilin (aftershock)",4.2,8,,1,2,2,--
11/5/2013,"Iran, East Azerbaijan",4.1,,,--,--,1 - 2,--
11/5/2013,"USA, Oklahoma",3.8,6,V,--,--,2,--
11/6/2013,"India, Assam",5.5,,,--,6,2 - 3,--
11/6/2013,"Indonesia, Java",,,,--,--,1 - 2,--
11/8/2013,"Iran, East Azerbaijan",4.6,8,,--,--,1 - 2,--
11/10/2013,Tajikistan,5.2,16,,1,12,4,--
11/11/2013,"India, New Delhi","< 3,4",,,--,--,1 - 2,--
11/12/2013,Greece,4.9,12,,--,--,1,--
11/13/2013,Honduras,4.5,,,--,--,1 - 2,--
11/16/2013,"China, Yunnan",4.5,13,,--,--,3,--
11/17/2013,OS Orkney Islands,7.8,,VIII,--,--,--,cm
11/18/2013,Croatia,4.9,4,VII,--,--,2,--
11/18/2013,Kosovo,4.5,3,VI ,--,--,1 - 2,--
11/18/2013,"New Zealand, Christchurch",4.6,,,--,--,1 - 2,--
11/19/2013,"China, Heilongjiang",4.7,9,,--,1,2,--
11/20/2013,"USA, Texas","[3,6]",,,--,--,1 - 2,--
11/20/2013,"USA, Ohio",3.5,8,,--,--,1,--
11/21/2013,France,4.7,7,,--,--,1 - 2,--
11/21/2013,"Italy, Lombardy",3.8,5,,--,--,1 - 2,--
11/21/2013,Albania,4,5,V,--,--,1 - 2,--
11/21/2013,"China, Sichuan",4.1,13,,--,--,2,--
11/22/2013,Iraq,5.4,9,,--,1,2 - 3,--
11/22/2013,"China, Jilin",5.3,8,,--,2,2 - 3,--
11/22/2013,"Iran, Kermanshah",5.6,10,VII,--,15,3,--
11/22/2013,"China, Jilin",5.8,,VII,--,13,3 - 4,--
11/23/2013,"China, Shandong",4.6,6,,--,--,2,--
11/23/2013,"Iran, Kermanshah",5.2,15,,--,4,2,--
11/23/2013,"China, Xinjiang",5.6,10,,--,--,3 - 4,--
11/24/2013,"Iran, Kermanshah",5.7,10,VII,--,17,2 - 3,--
11/24/2013,Turkey,4.8,7,V ,--,14,1 - 2,--
11/25/2013,OS Falkland Islands,7,,,--,--,1,--
