Date (UTC),"Country, Region (Epicenter)",Country,Magnitude,Depth (km),Intensity (MMI),Fatalities,Injuries,Damage level,buildings damaged,buildings destroyed,Tsu. height
14.10.2016,"Iran, Kohgiluyeh Va Boyer Ahmad",Iran,4.8,,,--,--,2,300,0,--
15.10.2016,"Greece, West Macedonia",Greece,5.5,,,--,--,3,,6,--
15.10.2016,"Venezuela, Zuila (Maracaibo area)",Venezuela,4.3,,,--,--,1,1,0,--
16.10.2016,"OS Peru, Lambayeque",Peru,5.3,14,IV,1,--,--,,,--
17.10.2016,"China, Qinghai",China,6.2,9,,2,--,3,3000,,--
17.10.2016,"Poland, Lower Silesia",Poland,"[4,3]",1,,--,6,1,,0,--
20.10.2016,"Pakistan, Beluchestan",Pakistan,5.1,36,,--,--,3,,,--
20.10.2016,"Iran, Kerman",Iran,4.8,10,,--,24,2,,,--
21.10.2016,"Japan, Tottori",Japan,6.6,10,JMA 6-,--,30,3,12620,12,--
21.10.2016,"Russia, Krasnodar",Russia,4.3,20,,--,--,1,,0,--
24.10.2016,"Switzerland, Valais",Switzerland,4.2,9,V,--,--,1,1,0,--
24.10.2016,"Rwanda, Western Province",Rwanda,4.8,,,--,,3,,5,--
25.10.2016,"Iran, Ravazi-Chorasan",Iran,4.9,9,,--,--,2,79,0,--
26.10.2016,"Italy, Marche",Italy,5.4,9,VII,--,3,3,,,--
26.10.2016,"Italy, Marche",Italy,5.9,8,IX,1,,4,,,--
28.10.2016,"OS Peru, Callao",Peru,5.0,52,V,--,1,2 - 3,,,--
28.10.2016,"Iran, Kerman",Iran,4.7,10,,--,10,2,,,--
30.10.2016,"Italy, Umbria",Italy,6.5,9,IX,--,23,5,,,--
31.10.2016,"Colombia, Huila",Colombia,5.4,,,--,--,3,32,1,--
31.10.2016,"Iran, Kerman",Iran,4.6,10,,--,3,2,,,--
02.11.2016,"USA, Oklahoma",USA,"[4,5]",3,VI,--,--,1,,,--
02.11.2016,"Turkey, Corum",Turkey,4.7,5,,--,--,1 - 2,,,--
03.11.2016,"Germany, Baden-Württemberg",Germany,3.0,5,IV,--,--,1,5,,--
04.11.2016,"Chile, Maule",Chile,6.4,88,VII,--,2,2,,,--
05.11.2016,"Indonesia, Jawa Barat",Indonesia,4.2,10,,--,1,3,,1,--
07.11.2016,"USA, Oklahoma",USA,[5.0],5,VII,--,1,2 - 3,,,--
07.11.2016,"Germany, Thuringia",Germany,[1.9],1,III,--,--,1,1,0,--
08.11.2016,"OS Chile, Bio-Bio",Chile,5.9,15,VI,--,--,1,,0,--
13.11.2016,"New Zealand, Canterbury",New Zealand,7.8,15,IX,2,526,4,,,"4,1 m"
14.11.2016,"Germany, Baden-Württemberg",Germany,2.6,6,IV,--,--,1,1,0,--
15.11.2016,"Germany, Lower Saxony",Germany,"[2,5]",5,IV,--,--,1,1,0,--
15.11.2016,"India, Haryana",India,4.4,,,--,--,1,,0,--
16.11.2016,"OS Indonesia, Jawa Timur",Indonesia,6.2,,,--,1,2,37,1,--
16.11.2016,"Brazil, Sergipe",Brazil,3.1,5,,--,--,1,,0,--
17.11.2016,"China, Yunnan",China,4.4,,,--,--,2,3300,0,--
17.11.2016,"China, Qinghai",China,4.8,5,,--,4,3,421,18,--
20.11.2016,"China, Xizang",China,3.1,6,,--,--,2,100,0,--
20.11.2016,"Argentina, San Juan",Argentina,6.4,130,,--,--,2,30,1,--
21.11.2016,"OS Japan, Fukushima",Japan,7.4,25,JMA 5-,--,20,1,2,,140 cm
22.11.2016,"New Zealand, Canterbury (aftershock)",New Zealand,5.7,7,VIII,--,--,2 - 3,,1,--
22.11.2016,"Russia, Buryatia",Russia,4.9,,V  ,--,--,1,3,0,--
23.11.2016,"China, Yunnan",China,4.2,6,,--,--,1 - 2,400,0,--
24.11.2016,"OS El Salvador, Usulutan",El Salvador,7.0,,V,1,-- ,1 - 2,,0,8 cm
